Commmon Name,Scientific name,Population,Taxon,Range,COSEWIC status,On Schedule 1 (Yes/No)?,SARA status,Action plan (Y/N/Proposed),Year,Multispecies?,Cost (per year),Number of species,Recovery measure,Action,RM,Both,Priority,Status and timeline,Partners,Terrestrial,Aquatic ,Threat or objective addressed,Multispecies Quality Control
Long's Bulrush,Scirpus longii,,Vascular Plants,Nova Scotia,Special Concern,,Special Concern,Y,2017,Y,0,22,Complete the Atlantic Coastal Plain Flora (ACPF) Atlas on Kejimkujik Lake to complete population mapping on lakes listed as High Priority in the Recovery Strategy.,0,1,0,0,2017,0,0,1,Knowledge gap: Location of populations and suitable habitat at all High Priority locations.,1
Long's Bulrush,Scirpus longii,,Vascular Plants,Nova Scotia,Special Concern,,Special Concern,Y,2017,Y,0,22,"Continue to involve the public in meaningful recovery actions for species at risk through collaboration with the Kejimkujik volunteer program (recruitment, training, support, capacity, recognition).",1,0,0,0,Annual (2016- 2020),0,0,1,Various Threats,1
Longspine Thornyhead,Sebastolobus altivelis,,Fishes (marine),Pacific Ocean,Special Concern,Schedule 1,Special Concern,Y,2015,Y,0,41,"Develop a baseline and conduct on-going monitoring of key threats to marine species (e.g., ocean temperature, noise) to inform a long-term monitoring program for the NMCAR",0,1,0,0,2020,0,0,1,Evaluating progress for all conservation and recovery efforts in GH,1
Longspine Thornyhead,Sebastolobus altivelis,,Fishes (marine),Pacific Ocean,Special Concern,Schedule 1,Special Concern,Y,2015,Y,0,41,"Oil spill preparedness - planning, prioritizing sensitive sites for species at risk protection, equipment acquisition and deployment, staff training",,1,0,0,"Some aspects ongoing, others by 2020",0,0,1,"Oil spills, pollution",1
Longspine Thornyhead,Sebastolobus altivelis,,Fishes (marine),Pacific Ocean,Special Concern,Schedule 1,Special Concern,Y,2015,Y,0,41,"Outreach & education: prevent abalone poaching, participate in Haida Gwaii Marine Stewardship Group, include N. Abalone and other species at risk in curriculum for Mt Moresby Adventure Camp student trip to GH",1,0,0,0,2016 onwards and ongoing,0,0,1,Continue to raise awareness of the plight of the abalone and the threats to their survival; stop or discourage illegal harvesting activities,1
Long-stalked Whitlow-grass,Draba juvenilis,,Vascular Plants,Alberta,Data Deficient,No schedule,Special Concern,N,,,,,,,,,,,,,,,
Long-toed Salamander,Ambystoma macrodactylum,,Amphibians,"British Columbia, Alberta",Not at Risk,No schedule,Special Concern,Y,2017,Y,0,15,Develop and implement pesticide best management practices for WLNP and BURNHS with the recovery needs of aerial insectivore and invertebrate species at risk in mind.,0,0,1,0,Plan developed by 2017. Implementation 2018-2022.,0,0,1,"Threat of reduced availability of insect prey, pesticide use.",1
Long-toed Salamander,Ambystoma macrodactylum,,Amphibians,"British Columbia, Alberta",Not at Risk,No schedule,Special Concern,Y,2017,Y,0,15,Mitigate roadway mortality of long-toed salamanders near Linnet Lake through maintenance and/or improvement to the existing directional fence and underroad tunnel system.,1,0,0,0,2017-2022,0,0,1,Threat of human disturbance.,1
Louisiana Waterthrush,Parkesia motacilla,,Birds,"Ontario, Quebec",Threatened,Schedule 1,Special Concern,Y,2016,Y,0,66,Inclusion of Indigenous Traditional Know ledge: Engage the Caldw ell First Nation and the Walpole Island First Nation to collaboratively develop and implement methods to meaningfully incorporate ATK into management practices for SAR at PPNP and NNHS.,0,0,1,0,Ongoing,0,1,0,"Inclusion of Traditional Ecological Know ledge To better inform assessment, monitoring, and recovery of the ecosystems that support species at risk.",1
Louisiana Waterthrush,Parkesia motacilla,,Birds,"Ontario, Quebec",Threatened,Schedule 1,Special Concern,Y,2016,Y,0,66,"Manage Rare Bird Sightings: Mitigate visitor disturbance to migrating individuals or nesting SAR birds at PPNP; communication, area closures, and patrols to promote compliance.",1,0,0,0,Ongoing,0,1,0,Protect individuals from harassment.,1
Lumpfish,Cyclopterus lumpus,,Fishes (marine),"Prince Edward Island, Nunavut, Atlantic Ocean, Manitoba, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Threatened,No schedule,Special Concern,N,,,,,,,,,,,,,,,
Lyall's Mariposa Lily,Calochortus lyallii,,Vascular Plants,British Columbia,Special Concern,Schedule 1,Special Concern,N,,,,,,,,,,,,,,,
Mackenzie Hairgrass,Deschampsia mackenzieana,,Vascular Plants,"Northwest Territories, Saskatchewan",Special Concern,Schedule 1,Special Concern,N,,,,,,,,,,,,,,,
Macoun's Meadowfoam,Limnanthes macounii,,Vascular Plants,British Columbia,Threatened,Yes,Special Concern,Y,2017,Y,0,9,Fill Knowledge Gaps: Installation of artificial breeding sites.,,1,,0,Completed within 2 years,0,1,0,N/A,1
Macoun's Meadowfoam,Limnanthes macounii,,Vascular Plants,British Columbia,Threatened,Yes,Special Concern,Y,2017,Y,0,9,"Genetic Banking: Banking of genetic material (e.g., seed, tissue) in an appropriate facility.",1,,,0,Completed within 2 years,0,1,0,"Deltoid Balsamroot – Habitat fragmentation and demographic collapse
 Macoun’s Meadowfoam – Invasive and other problematic species and genetic fitness",1
Macoun's Meadowfoam,Limnanthes macounii,,Vascular Plants,British Columbia,Threatened,Yes,Special Concern,Y,2017,Y,0,9,"Habitat conservation: Removal of priority non-native invasive species (e.g., Scotch Broom, Daphne, Himalayan Blackberry, English Ivy, English Holly, Canada Thistle, Burr Chervil) within the immediate vicinity(20m radius) of rare plant populations.",1,,,0,Annual/Ongoing,0,1,0,N/A,1
Macoun's Meadowfoam,Limnanthes macounii,,Vascular Plants,British Columbia,Threatened,Yes,Special Concern,Y,2017,Y,0,9,Knowledge Gathering: (1) Work with partners to fill knowledge gaps for species at risk found within Fort Rodd Hill. (2) Support inventory and research on species at risk. (3) Prioritize knowledge gaps and add to research priorities. (4) Record incidental observations of rare species and species at risk.,,1,,0,Ongoing,0,1,0,N/A,1
Macoun's Meadowfoam,Limnanthes macounii,,Vascular Plants,British Columbia,Threatened,Yes,Special Concern,Y,2017,Y,0,9,Population Recovery: Regular maintenance of artificial breeding sites and monitoring breeding success.,,,1,0,Ongoing,0,1,0,N/A,1
Macoun's Meadowfoam,Limnanthes macounii,,Vascular Plants,British Columbia,Threatened,Yes,Special Concern,Y,2017,Y,0,9,"Species at Risk Interpretive Program:
 Provide species at risk and rare ecosystem interpretive information to visitors at Fort Rodd Hill. Site visitors learn about species at risk and rare ecosystems through a diverse suite of non-personal media. Personal interpretation of species at risk and rare ecosystems offered if project or other resources are available.",1,,,0,Ongoing,0,1,0,N/A,1
Macoun's Shining Moss,Neomacounia nitida,,Mosses,Ontario,Extinct,No schedule,Special Concern,N,,,,,,,,,,,,,,,
Macropis Cuckoo Bee,Epeoloides pilosulus,,Arthropods,Nova Scotia,Endangered,Schedule 1,Special Concern,N,,,,,,,,,,,,,,,
Magdalen Islands Grasshopper,Melanoplus madeleineae,,Arthropods,Quebec,Special Concern,No schedule,Special Concern,N,,,,,,,,,,,,,,,
Magnum Mantleslug,Magnipelta mycophaga,,Molluscs,British Columbia,Special Concern,Schedule 1,Special Concern,N,,,,,,,,,,,,,,,
Manitoba Oakworm Moth,Anisota manitobensis,,Arthropods,Manitoba,Special Concern,No schedule,Special Concern,N,,,,,,,,,,,,,,,
Mapleleaf,Quadrula quadrula,Great Lakes - Upper St. Lawrence population,Molluscs,Ontario,Special Concern,Yes,Special Concern,Y,2018,Y,0,8,"Awareness of critical habitat:
 Hold one-day workshops with municipal staff and planning and review agencies, and work with municipal planning authorities so that they consider the protection of critical habitat for SAR within official plans.",1,,,High,Ongoing,0,0,1,Will provide further protection for SAR and promote future development that does not degrade important habitat.,1
Mapleleaf,Quadrula quadrula,Great Lakes - Upper St. Lawrence population,Molluscs,Ontario,Special Concern,Yes,Special Concern,Y,2018,Y,0,8,"Evaluate the cumulative impacts and relative importance of watershed-scale stressors to SAR populations and their habitats (e.g., invasive species, cumulative impacts of municipal wastewater and urban runoff such as road salt).",,1,,High,2020-2021,0,0,1,Will help evaluate the cumulative impact of multiple stressors affecting SAR populations.,1
Mapleleaf,Quadrula quadrula,Great Lakes - Upper St. Lawrence population,Molluscs,Ontario,Special Concern,Yes,Special Concern,Y,2018,Y,0,8,"Habitat management awareness:
 Ensure planning and management agencies recognize the importance of wetland habitats (for Lake Chubsucker and Pugnose Shiner) as well as riverine habitats for SAR mussels.",1,,,High,Ongoing,0,0,1,"Will result in the awareness of the need to protect important habitat from development activities, and help ensure the flow requirements of SAR are met.",1
Mapleleaf,Quadrula quadrula,Great Lakes - Upper St. Lawrence population,Molluscs,Ontario,Special Concern,Yes,Special Concern,Y,2018,Y,0,8,Increase awareness of the presence of and need to protect critical habitat among landowners and those accessing the river corridor for recreation. This will help voluntarily reduce disruptive activities such as driving motor vehicles or ATV’s in the river.,1,,,High,Ongoing,0,0,1,Will promote protection and/or mitigation of habitat from various threats (including impacts from vehicles and ATVs driving in the river).,1
Mapleleaf,Quadrula quadrula,Saskatchewan – Nelson Rivers population,Molluscs,Manitoba,Threatened,Schedule 1,Special Concern,N,,,,,,,,,,,,,,,
Marbled Murrelet,Brachyramphus marmoratus,,Birds,British Columbia,Threatened,Yes,Special Concern,Y,2018,Y,0,26,Develop and implement an online and new media strategy.,,,1,0,Ongoing,0,1,0,Public awareness of and support for participation in recovery.,1
Marbled Murrelet,Brachyramphus marmoratus,,Birds,British Columbia,Threatened,Yes,Special Concern,Y,2018,Y,0,26,Habitat Conservation: Control woody vegetation posing a threat to Foothill Sedge and its critical habitat on Sidney Island.,1,,,0,Commencing in 2016 and ongoing.,0,1,0,Invasive alien plant species and changes in ecological Dynamics (Parks Canada Agency 2013).,1
Marbled Murrelet,Brachyramphus marmoratus,,Birds,British Columbia,Threatened,Yes,Special Concern,Y,2018,Y,0,26,"Habitat Conservation: Removal of priority exotic invasive species from coastal sand ecosystem habitat at Sidney Island.
 Long term goal is eradication of priority invasive species from coastal sand habitat management areas at Sidney Island.",1,,,0,Ongoing annually.,0,1,0,"Invasive alien plant species (PCA 2011, COSEWIC 2013, COSEWIC 2009).
 Habitat loss or degradation (Environment Canada 2015).",1
Marbled Murrelet,Brachyramphus marmoratus,,Birds,British Columbia,Threatened,Yes,Special Concern,Y,2018,Y,0,26,Population Recovery: Develop and implement a population augmentation plan if needed for the Sidney Spit population.,,,1,0,Dependent on results of activity 1,0,1,0,Species demographics (PCA 2011).,1
Marbled Murrelet,Brachyramphus marmoratus,,Birds,British Columbia,Threatened,Yes,Special Concern,Y,2018,Y,0,26,Population Recovery: Experimental trial to investigate the feasibility of expanding the distribution of this species and create a second subpopulation at Sidney Island.,,1,,0,Dependent on outcome of feasibility assessment and funding.,0,1,0,Species demographics (PCA 2011).,1
Marbled Murrelet,Brachyramphus marmoratus,,Birds,British Columbia,Threatened,Yes,Special Concern,Y,2018,Y,0,26,Visitor awareness and compliance: Develop and implement media strategy.,,,1,0,Ongoing,0,1,0,Public awareness of and support for participation in recovery.,1
Marbled Murrelet,Brachyramphus marmoratus,,Birds,British Columbia,Threatened,Yes,Special Concern,Y,2018,Y,0,26,Visitor awareness and compliance: Incorporate species at risk monitoring and recovery into visitor opportunities.,,,1,0,Ongoing,0,1,0,Public awareness of and support for participation in recovery.,1
Marbled Murrelet,Brachyramphus marmoratus,,Birds,British Columbia,Threatened,Yes,Special Concern,Y,2018,Y,0,26,"Visitor awareness and compliance: Manage visitor impacts at Mt. Warburton Pike, Saturna Island through interpretive information and trail alignment.",1,,,0,Beginning in 2016.,0,1,0,Habitat Conversion and Public education (Parks Canada Agency 2014).,1
Marbled Murrelet,Brachyramphus marmoratus,,Birds,British Columbia,Threatened,Yes,Special Concern,Y,2018,Y,0,26,Visitor awareness and compliance: Work with partners to promote the protection of key species and ecosystems.,1,,,0,Ongoing,0,1,0,Public awareness of and support for participation in recovery.,1
Marbled Murrelet,Brachyramphus marmoratus,,Birds,British Columbia,Threatened,Yes,Special Concern,Y,2018,Y,0,26,Visitor awareness and compliance:Provide visitors with information regarding species protection.,1,,,0,"By 2020.
 Annual closures during nesting season (May-September).",0,1,0,"Promote compliance with Federal (e.g., SARA, Migratory Birds Convention Act (1994)), Provincial, and Municipal Acts and Policies as well as beneficial management practices that protect the species, its prey, and their habitats. (Environment Canada 2015).",1
Margined Madtom,Noturus insignis,,Fishes (freshwater),"Ontario, Quebec",Data Deficient,,Special Concern,N,,,,,,,,,,,,,,,
Margined Streamside Moss,Scouleria marginata,,Mosses,British Columbia,Endangered,Schedule 1,Special Concern,N,,,,,,,,,,,,,,,
Maritime Ringlet,Coenonympha nipisiquit,,Arthropods,"Quebec, New Brunswick",Endangered,Schedule 1,Special Concern,N,,,,,,,,,,,,,,,
Massasauga,Sistrurus catenatus,Carolinian population,Reptiles,Ontario,Endangered,Schedule 1,Special Concern,N,,,,,,,,,,,,,,,
Massasauga,Sistrurus catenatus,Great Lakes / St. Lawrence population,Reptiles,Ontario,Threatened,Schedule 1,Special Concern,Y,2016,Y,0,41,Engage the SON to collaboratively develop and implement methods to meaningfully incorporate ATK into management practices for SAR at BPNP & FFNMP.,0,0,1,0,Ongoing,0,1,0,Several recovery documents note the importance and utility of including ATK in recovery strategies,1
